pickup_hour,trip_count,anomaly_count,anomaly_rate
0,10887,318,2.920914852576467
1,8189,183,2.2347050921968497
2,6291,86,1.367032268319822
3,4631,74,1.5979270136039732
4,3432,136,3.9627039627039626
5,3010,260,8.637873754152823
6,6381,294,4.60742830277386
7,11082,305,2.7522107922757626
8,13534,252,1.8619772425003696
9,13608,222,1.6313932980599646
10,13246,195,1.4721425335950475
11,13852,236,1.7037250938492638
12,14747,256,1.7359462941615242
13,14824,271,1.8281165677280085
14,15652,312,1.9933554817275747
15,15424,366,2.3729253112033195
16,13979,344,2.460834108305315
17,16261,294,1.8080068876452864
18,18962,220,1.1602151671764582
19,18717,189,1.009777207885879
20,17155,239,1.393179830953075
21,17000,314,1.8470588235294116
22,15988,295,1.845133850387791
23,13148,307,2.334955886826894
