pickup_hour,average_fare
0,12.996656682404426
1,12.664923218778494
2,12.582259757666257
3,13.108399912015933
4,14.797358161307397
5,15.839577653133242
6,12.98270768989506
7,11.873358337937221
8,11.866395931370507
9,11.919282022376093
10,12.101069469874387
11,12.033149665171978
12,12.038108756405622
13,12.402670083455154
14,12.855964536126043
15,12.824841119557329
16,12.733393980779466
17,12.40581331440099
18,11.76597103550296
19,11.560502700207985
20,12.05656233500041
21,12.370890081006767
22,12.759513834061751
23,13.199822011367411
